Instance,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,Class Label
10,0.065429688,0.096164703,0.018870434,0.752718007,0.151611328,0.045166016,0.074977875,0.013769829,-0.260604251,0.102294922,0.088459015,0.058134585,0.567249284,0.229492188,0.078022003,0.039075773,0.578733616,0.193359375,121.1157227,2.256671287,119.4316406,2.423883208,116.7768555,2.301920792,2.923840427,0.79934199,0.141924201,0.501948645,0
11,0.056884766,0.089511871,0.021239023,0.342498854,0.130859375,0.041748047,0.086547852,0.02754096,0.581732674,0.145263672,0.102077484,0.068633865,0.655201652,0.249023438,0.058868408,0.031498591,0.353104504,0.123535156,107.1142578,4.041487949,108.0876465,3.419110431,108.2099609,3.49166955,1.821860631,0.929312095,0.134462141,0.592761114,0
12,0.040039063,0.069580078,0.018839903,1.86839387,0.146972656,0.039306641,0.061943054,0.011829447,1.177175493,0.100830078,0.070438385,0.041496007,0.07805795,0.146240234,0.070224762,0.027170702,0.079717918,0.145751953,120.592041,1.769237216,119.2998047,1.762361464,118.3408203,1.944557135,2.038808579,0.758316931,0.178443344,0.559927417,0
13,0.104492188,0.142467499,0.020284065,0.225410582,0.187255859,0.052734375,0.108608246,0.026862884,0.714481444,0.197998047,0.137535095,0.090933578,0.882682122,0.358398438,0.130653381,0.057275604,0.265840662,0.28125,188.0090332,3.62448359,188.2836914,3.657997398,188.3823242,3.531363393,5.247054319,0.858028098,0.100139522,0.43042192,0
14,0.194580078,0.263816833,0.034215955,-0.008515989,0.334228516,0.092041016,0.196510315,0.050840283,-0.058626757,0.278564453,0.194282532,0.110659789,0.715353242,0.529785156,0.189655304,0.118315053,0.154063478,0.439208984,126.7692871,6.289115417,126.4929199,6.906776611,127.3696289,7.512333314,16.34179835,0.858264722,0.054893081,0.268904933,0
15,0.05859375,0.128078461,0.032556367,0.21999367,0.197998047,0.133544922,0.202377319,0.03831406,0.767719522,0.304443359,0.176460266,0.094576003,0.719638239,0.451660156,0.110599518,0.074809702,0.89315973,0.304443359,129.1711426,6.33444956,130.4816895,7.147726684,132.963623,8.349593866,6.772435595,0.939000617,0.069571275,0.384153761,0
16,0.067626953,0.200439453,0.098794832,0.162675558,0.354492188,0.052001953,0.087268829,0.021950517,0.498454318,0.138427734,0.116664886,0.06564255,1.122936268,0.333740234,0.132892609,0.085438189,1.016537881,0.376708984,116.2060547,6.493726123,115.4050293,6.967752458,115.1347656,7.437001188,4.530987221,0.95571643,0.129409421,0.475721835,0
17,0.645263672,0.787872314,0.066410366,-0.629674306,0.892089844,0.059082031,0.210887909,0.10323648,1.223192612,0.526611328,0.581233978,0.240583102,-0.134409597,1.080810547,0.56085968,0.223479816,-0.070009007,1.013916016,118.9887695,14.57064119,116.5422363,15.28326844,115.6577148,15.3533107,115.9525404,0.865184183,0.054754243,0.258646214,0
18,0.080078125,0.121006012,0.024543699,0.651982023,0.176025391,0.075195313,0.118770599,0.023674128,0.236471599,0.181152344,0.130435944,0.091003093,0.939807446,0.397705078,0.119033813,0.041834555,-0.27585628,0.212158203,172.8830566,3.107096532,173.449707,3.119903643,170.8771973,3.224177396,4.825401746,0.828771162,0.108538851,0.431356451,0
19,0.044677734,0.102817535,0.021732667,-0.533950977,0.145019531,0.050537109,0.087459564,0.023846973,0.400235502,0.138916016,0.08391571,0.044161719,0.130729214,0.177246094,0.093013763,0.071497762,1.247560868,0.300048828,103.9611816,2.682627664,101.4672852,2.648869167,99.04418945,2.668309102,3.444178713,0.83417083,0.129361162,0.485916336,0
